accession,title,organism,n_samples,date,platform,type,query
GSE25580,Examination of impact of pathogenic mutations in LRRK2 upon gene expression in patient fibroblasts and HEK cells,Homo sapiens,56,2010/12/03,6104;6947,Expression profiling by array,Parkinson's disease AND control AND GPL6947
GSM1192718,Braak α-synuclein stages 5-6 BR56_8SN,Homo sapiens,0,2015/05/12,570,,Parkinson's disease AND substantia nigra AND GPL570
GSM1192717,Braak α-synuclein stages 5-6 BR56_7SN,Homo sapiens,0,2015/05/12,570,,Parkinson's disease AND substantia nigra AND GPL570
GSM1192716,Braak α-synuclein stages 5-6 BR56_6SN,Homo sapiens,0,2015/05/12,570,,Parkinson's disease AND substantia nigra AND GPL570
GSM1192715,Braak α-synuclein stages 5-6 BR56_5SN,Homo sapiens,0,2015/05/12,570,,Parkinson's disease AND substantia nigra AND GPL570
GSM1192714,Braak α-synuclein stages 5-6 BR56_4SN,Homo sapiens,0,2015/05/12,570,,Parkinson's disease AND substantia nigra AND GPL570
GSM1192713,Braak α-synuclein stages 5-6 BR56_3SN,Homo sapiens,0,2015/05/12,570,,Parkinson's disease AND substantia nigra AND GPL570
GSM1192712,Braak α-synuclein stages 5-6 BR56_2SN,Homo sapiens,0,2015/05/12,570,,Parkinson's disease AND substantia nigra AND GPL570
GSM1192711,Braak α-synuclein stages 5-6 BR56_1SN,Homo sapiens,0,2015/05/12,570,,Parkinson's disease AND substantia nigra AND GPL570
GSM1192710,Braak α-synuclein 3-4 BR34_7SN,Homo sapiens,0,2015/05/12,570,,Parkinson's disease AND substantia nigra AND GPL570
GSM1192709,Braak α-synuclein 3-4 BR34_6SN,Homo sapiens,0,2015/05/12,570,,Parkinson's disease AND substantia nigra AND GPL570
GSM1192708,Braak α-synuclein 3-4 BR34_5SN,Homo sapiens,0,2015/05/12,570,,Parkinson's disease AND substantia nigra AND GPL570
GSM1192707,Braak α-synuclein 3-4 BR34_4SN,Homo sapiens,0,2015/05/12,570,,Parkinson's disease AND substantia nigra AND GPL570
GSM1192706,Braak α-synuclein 3-4 BR34_3SN,Homo sapiens,0,2015/05/12,570,,Parkinson's disease AND substantia nigra AND GPL570
GSM1192705,Braak α-synuclein 3-4 BR34_2SN,Homo sapiens,0,2015/05/12,570,,Parkinson's disease AND substantia nigra AND GPL570
GSM1192704,Braak α-synuclein 3-4 BR34_1SN,Homo sapiens,0,2015/05/12,570,,Parkinson's disease AND substantia nigra AND GPL570
GSM503967,PD-5476-SNc,Homo sapiens,0,2010/02/04,570,,Parkinson's disease AND substantia nigra AND GPL570
GSM503966,PD-5138-SNc,Homo sapiens,0,2010/02/04,570,,Parkinson's disease AND substantia nigra AND GPL570
GSM503965,PD-3803p-SNc,Homo sapiens,0,2010/02/04,570,,Parkinson's disease AND substantia nigra AND GPL570
GSM503964,PD-3790p-SNc,Homo sapiens,0,2010/02/04,570,,Parkinson's disease AND substantia nigra AND GPL570
GSM503963,PD-3769p-SNc,Homo sapiens,0,2010/02/04,570,,Parkinson's disease AND substantia nigra AND GPL570
GSM503962,PD-2525-SNc,Homo sapiens,0,2010/02/04,570,,Parkinson's disease AND substantia nigra AND GPL570
GSM503961,PD-2515p-SNc,Homo sapiens,0,2010/02/04,570,,Parkinson's disease AND substantia nigra AND GPL570
GSM503960,PD-1647-SNc,Homo sapiens,0,2010/02/04,570,,Parkinson's disease AND substantia nigra AND GPL570
GSM503959,PD-1401-SNc,Homo sapiens,0,2010/02/04,570,,Parkinson's disease AND substantia nigra AND GPL570
GSM503958,PD-1364-SNc,Homo sapiens,0,2010/02/04,570,,Parkinson's disease AND substantia nigra AND GPL570
GSM176457,Substantia Nigra Reticulata 3 Disease,Homo sapiens,0,2007/04/09,570,,Parkinson's disease AND substantia nigra AND GPL570
GSM176406,Substantia Nigra Reticulata 2 Disease,Homo sapiens,0,2007/04/09,570,,Parkinson's disease AND substantia nigra AND GPL570
GSM176405,Substantia Nigra Pars Compacta 3 Disease,Homo sapiens,0,2007/04/09,570,,Parkinson's disease AND substantia nigra AND GPL570
GSE7179,Comparison of gene expression data between wild-type and DM1-affected undifferentiated hES cells.,Homo sapiens,9,2010/02/24,570,Expression profiling by array,Parkinson's disease AND blood AND GPL570
GSE7178,Comparison of gene expression data between wild-type and DM1-affected Neural Precursors Cells (NPC),Homo sapiens,9,2010/02/24,570,Expression profiling by array,Parkinson's disease AND blood AND GPL570
GSE7177,Comparison of gene expression data between wild-type and DM1-affected Mesodermal Precursors Cells (MPC),Homo sapiens,9,2010/02/24,570,Expression profiling by array,Parkinson's disease AND blood AND GPL570
GSE14711,Parkinson’s disease patient-derived induced pluripotent stem cells free of viral reprogramming factors,Homo sapiens,11,2009/03/06,570,Expression profiling by array,Parkinson's disease AND blood AND GPL570
GSM505623,ND 06449 Pm,Homo sapiens,0,2010/02/04,570,,Parkinson's disease AND blood AND GPL570
GSM505617,ND 04424 Pm,Homo sapiens,0,2010/02/04,570,,Parkinson's disease AND blood AND GPL570
GSM505607,ND 04158 Pf,Homo sapiens,0,2010/02/04,570,,Parkinson's disease AND blood AND GPL570
GSM505606,ND 03432 Pf,Homo sapiens,0,2010/02/04,570,,Parkinson's disease AND blood AND GPL570
GSM505314,ND 02852 Pm,Homo sapiens,0,2010/02/04,570,,Parkinson's disease AND blood AND GPL570
GSM505313,ND 02579 Pm,Homo sapiens,0,2010/02/04,570,,Parkinson's disease AND blood AND GPL570
GSM505312,ND 01737 Pf,Homo sapiens,0,2010/02/04,570,,Parkinson's disease AND blood AND GPL570
GSM505308,ND 01173 Pf,Homo sapiens,0,2010/02/04,570,,Parkinson's disease AND blood AND GPL570
GSM367258,iPS PDB 2lox-17,Homo sapiens,0,2009/03/06,570,,Parkinson's disease AND blood AND GPL570
GSM367245,iPS PDB 2lox-21,Homo sapiens,0,2009/03/06,570,,Parkinson's disease AND blood AND GPL570
GSM367244,iPS PDB 2lox-22,Homo sapiens,0,2009/03/06,570,,Parkinson's disease AND blood AND GPL570
GSM367243,iPS PDB 2lox-5,Homo sapiens,0,2009/03/06,570,,Parkinson's disease AND blood AND GPL570
GSM367242,iPS PDB 1lox-21Puro-26,Homo sapiens,0,2009/03/06,570,,Parkinson's disease AND blood AND GPL570
GSM367241,iPS PDB 1lox-21Puro-20,Homo sapiens,0,2009/03/06,570,,Parkinson's disease AND blood AND GPL570
GSM367240,iPS PDB 1lox-17Puro-10,Homo sapiens,0,2009/03/06,570,,Parkinson's disease AND blood AND GPL570
GSM367219,iPS PDB 1lox-17Puro-5,Homo sapiens,0,2009/03/06,570,,Parkinson's disease AND blood AND GPL570
GPL10558,Illumina HumanHT-12 V4.0 expression beadchip,Homo sapiens,105827,2010/06/17,10558,,Parkinson's disease AND blood AND GPL10558
GSM1318551,RNA pool from PD patients 1-5,Homo sapiens,0,2014/01/31,10558,,Parkinson's disease AND blood AND GPL10558
GSM1318550,PD patient 4,Homo sapiens,0,2014/01/31,10558,,Parkinson's disease AND blood AND GPL10558
GSM1318549,PD patient 3,Homo sapiens,0,2014/01/31,10558,,Parkinson's disease AND blood AND GPL10558
GSM1318548,PD patient 2,Homo sapiens,0,2014/01/31,10558,,Parkinson's disease AND blood AND GPL10558
GSM1318547,PD patient 1,Homo sapiens,0,2014/01/31,10558,,Parkinson's disease AND blood AND GPL10558
GSE99253,Human iPSC-derived dopaminergic neurons function in primate Parkinson’s disease models,Homo sapiens,14,2017/08/21,6244,Expression profiling by array,Parkinson's disease AND brain AND GPL6244
GSE51214,Isolation of human iPSC-derived dopaminergic progenitors by cell sorting,Homo sapiens,20,2014/03/07,6244,Expression profiling by array,Parkinson's disease AND brain AND GPL6244
GSE29774,Generation of isogenic pluripotent stem cells differing exclusively at two early onset Parkinson point mutations,Homo sapiens,18,2011/07/26,6801;13695,Genome variation profiling by SNP array; Expression profiling by array,SNCA AND Parkinson AND GPL570
