accession,title,organism,n_samples,date,has_pub,type,summary,query
GSE231639,Xenografted human iPSC-derived neurons with the familial Alzheimer’s disease APPV717I mutation reveal dysregulated transcriptome signatures linked to synaptic function and implicate LINGO2 as a disease signaling mediator,Homo sapiens,18,2024/05/03,True,Expression profiling by high throughput sequencing,"alzheimer’s disease (ad) is the most common cause of dementia, and disease mechanisms are still not fully understood. here, we explored pathological changes in human induced pluripotent stem cell (ipsc)-derived neurons carrying the familial ad appv717i mutation after cell injection into the mouse forebrain. appv717i mutant ipscs and isogenic controls were differentiated into neurons revealing enhanced aβ42 production, elevated phospho-tau, and impaired neurite outgrowth in appv717i neurons. two months after transplantation, appv717i and control neural cells showed robust engraftment but at 12 months post injection, appv717i grafts were smaller and demonstrated impaired neurite outgrowth compared to controls, while plaque and tangle pathology were not seen. single-nucleus rna-sequencing of microdissected grafts, performed two months after cell injection, identified significantly altered transcriptome signatures in appv717i ipsc-derived neurons pointing towards dysregulated synaptic function and axon guidance. interestingly, appv717i neurons showed an increased expression of genes, many of which are also upregulated in postmortem neurons of ad patients including the transmembrane protein lingo2. downregulation of lingo2 in cultured appv717i neurons rescued neurite outgrowth deficits and reversed key ad-associated transcriptional changes related but not limited to synaptic function, apoptosis and cellular senescence. these results provide important insights into transcriptional dysregulation in xenografted appv717i neurons linked to synaptic function, and they indicate that lingo2 may represent a potential therapeutic target in ad.",Alzheimer's disease AND control AND RNA-seq AND human
GSE231638,Xenografted human iPSC-derived neurons with the familial Alzheimer’s disease APPV717I mutation reveal dysregulated transcriptome signatures linked to synaptic function and implicate LINGO2 as a disease signaling mediator,Homo sapiens,12,2024/05/03,True,Expression profiling by high throughput sequencing,"alzheimer’s disease (ad) is the most common cause of dementia, and disease mechanisms are still not fully understood. here, we explored pathological changes in human induced pluripotent stem cell (ipsc)-derived neurons carrying the familial ad appv717i mutation after cell injection into the mouse forebrain. appv717i mutant ipscs and isogenic controls were differentiated into neurons revealing enhanced aβ42 production, elevated phospho-tau, and impaired neurite outgrowth in appv717i neurons. two months after transplantation, appv717i and control neural cells showed robust engraftment but at 12 months post injection, appv717i grafts were smaller and demonstrated impaired neurite outgrowth compared to controls, while plaque and tangle pathology were not seen. single-nucleus rna-sequencing of microdissected grafts, performed two months after cell injection, identified significantly altered transcriptome signatures in appv717i ipsc-derived neurons pointing towards dysregulated synaptic function and axon guidance. interestingly, appv717i neurons showed an increased expression of genes, many of which are also upregulated in postmortem neurons of ad patients including the transmembrane protein lingo2. downregulation of lingo2 in cultured appv717i neurons rescued neurite outgrowth deficits and reversed key ad-associated transcriptional changes related but not limited to synaptic function, apoptosis and cellular senescence. these results provide important insights into transcriptional dysregulation in xenografted appv717i neurons linked to synaptic function, and they indicate that lingo2 may represent a potential therapeutic target in ad.",Alzheimer's disease AND control AND RNA-seq AND human
GSE232868,"Effect of Terpenes from Poria Cocos: Verification of Therapeutic Modes of Action for Alzheimer’s Disease using Molecular Docking, Drug-induced Transcriptomes and Diffusion Network [SW1783]",Homo sapiens,21,2024/04/23,True,Expression profiling by high throughput sequencing,this study aimed to identify the modes of action (moa) of poria cocos water extract (pcw) in sw1783 cell line.,Alzheimer's disease AND control AND RNA-seq AND human
GSE232862,"Effect of Terpenes from Poria Cocos: Verification of Therapeutic Modes of Action for Alzheimer’s Disease using Molecular Docking, Drug-induced Transcriptomes and Diffusion Network",Homo sapiens,18,2024/04/23,True,Expression profiling by high throughput sequencing,this study aimed to identify the modes of action (moa) of poria cocos water extract (pcw) in ht29 cell line.,Alzheimer's disease AND control AND RNA-seq AND human
GSE207821,Glioblastoma and its treatment are associated with extensive accelerated brain aging,Homo sapiens,35,2024/03/20,True,Expression profiling by high throughput sequencing,"neurocognitive dysfunction is the leading cause of a reduced quality of life in patients with primary brain tumors. however, how the human brain responds to the tumor and its treatment remains largely unknown. here we show that the brain of patients with glioblastoma shares features with alzheimer’s disease and displays hallmarks of accelerated ageing, mitochondrial and neuronal dysfunction, and proteostasis deregulation, thus revealing new targets for managing cancer-related side effects.",Alzheimer's disease AND control AND RNA-seq AND human
GSE241858,iPSC-derived microglia carrying the TREM2 R47H/+ mutation are pro-inflammatory and promote synapse loss.,Homo sapiens,35,2024/03/06,True,Expression profiling by high throughput sequencing,"genetic findings have highlighted key roles for microglia in the pathology of neurodegenerative conditions such as alzheimer’s disease (ad). a number of mutations in the microglial protein trem2 (triggering receptor expressed on myeloid cells 2) have been associated with increased risk for developing alzheimer’s disease (ad), most notably the r47h/+ substitution. we employed gene editing and stem cell models to gain insight into the effects of the trem2 r47h/+ mutation on human ipsc-derived microglia. we found transcriptional changes affecting numerous cellular processes, with r47h/+ cells exhibiting a pro-inflammatory gene expression signature. trem2 r47h/+ also caused impairments in microglial movement and the uptake of multiple substrates, as well as rendering microglia hyper-responsive to inflammatory stimuli. we developed an in vitro laser-induced injury model in neuron-microglia co-cultures, finding an impaired injury response by trem2 r47h/+ microglia. furthermore, mouse brains transplanted with trem2 r47h/+ microglia exhibited reduced synaptic density, with upregulation of multiple complement cascade components in trem2 r47h/+ microglia suggesting inappropriate synaptic pruning as one potential mechanism. these findings identify a number of potentially detrimental effects of the trem2 r47h/+ mutation on microglial gene expression and function likely to underlie its association with ad.",Alzheimer's disease AND control AND RNA-seq AND human
GSE227193,CASP4/Caspase-11 expression exacerbates neuroinflammation and amyloid-β deposition during Alzheimer’s disease [RNA-seq],Mus musculus,24,2024/02/15,True,Expression profiling by high throughput sequencing,"alzheimer’s disease (ad) is the 6th leading cause of death in the us. it is established that neuroinflammation contributes to the synaptic loss, neuronal death, and symptomatic decline of ad patients. accumulating evidence suggests a critical role for microglia, innate immune phagocytes of the brain. for instance, microglia release pro-inflammatory products such as il-1β which is highly implicated in ad pathobiology. the mechanisms underlying the transition of microglia to proinflammatory promoters of ad remain largely unknown. to address this gap, we performed representation bisulfite sequencing (rrbs) to profile global dna methylation changes in human ad brains compared to no disease controls. we identified differential dna methylation of caspase-4 (casp4), which when expressed, can be involved in generation of il-1β and is predominantly expressed in immune cells. dna upstream of the casp4 transcription start site was hypomethylated in human ad brains, which was correlated with increased expression of casp4. furthermore, microglia from a mouse model of ad (5xfad) express increased levels of casp4 compared to wild-type (wt) mice. to study the role of casp4 in ad, we developed a novel mouse model of ad lacking casp4 (5xfad/casp4-/-). the expression of casp4 was associated with increased accumulation of pathologic protein aggregate amyloid-β (aβ) in 5xfad mice. utilizing rna sequencing, we determined that casp4 promotes unique transcriptomic phenotypes in 5xfad mouse brains, including alterations of neuroinflammatory and chemokine signaling pathways. notably, in vitro, casp4 promoted generation of il-1β from macrophages and microglia in response to cytosolic aβ through cleavage of downstream effector gasdermin-d (gsdmd). we are the first to describe a role for casp4 and gsdmd in the generation of il-1β in response to aβ and the progression of pathologic inflammation in ad. overall, our results demonstrate that overexpression of casp4 due to differential methylation in ad microglia contributes to the progression of ad pathobiology, thus identifying casp4 as a potential target for immunotherapies for the treatment of ad.",Alzheimer's disease AND control AND RNA-seq AND human
GSE300348,Cdkn2a/p16INK4A Loss affects hippocampal transcription in Young Adult Mice Independently of Alzheimer ’s-Associated Genetic Pathways,Mus musculus,23,2026/03/11,True,Expression profiling by high throughput sequencing,"background – the cyclin-dependent kinase inhibitor cdkn2a/p16ink4a is a central regulator of cellular senescence, widely studied in aging and cancer. although its expression increases with age and disease, its role in the adult brain remains poorly defined. recent evidence suggests a possible contribution to neuroinflammation and cognitive decline in alzheimer’s disease (ad), but underlying mechanisms are unclear. we investigated the functional impact of p16ink4a inactivation on hippocampal gene expression in adult mice under normal and amyloidogenic conditions using the appnl-g-f ad model. methods –. hippocampal transcriptomes from control, p16ink4aknockout (p16ink4ako), appnl-g-f, and double mutant mice were analysed by rna sequencing. we performed differential gene expression analysis, gene set enrichment analysis (gsea), and interaction modelling to assess the molecular consequences of p16ink4a loss alone and in combination with amyloid pathology. results –transcriptomic analysis revealed that p16ink4ako upregulated metabolic, mitochondrial, and translational pathways, while downregulating synaptic and cytoskeletal genes. in contrast, appnl-g-f mice displayed strong immune activation. the double mutants showed additive transcriptional changes, yet gsea indicated non-linear interactions in synaptic and immune-related pathways. unexpectedly, p16ink4a deletion alone enriched senescence-associated signatures, despite the loss of this canonical senescence gene. conclusion – constitutive p16ink4a loss causes broad transcriptomic remodelling in the adult hippocampus, independently of amyloid pathology. these findings uncover non-canonical roles for p16ink4a in neuronal homeostasis and emphasise the need for temporally controlled models to better dissect the brain-specific functions of senescence regulators in ageing and neurodegeneration.",Alzheimer's disease AND hippocampus AND control AND RNA-seq
GSE316055,Differential downstream signaling in microglia lacking Alzheimer’s-related TREM2 or its adaptor TYROBP/DAP12,Mus musculus,72,2026/01/15,True,Expression profiling by high throughput sequencing,"microglia, the primary immune cell in the brain, have multiple activation phenotypes involved in broad functions within the brain, playing roles in neurotoxicity/neuroprotection, release of inflammatory and anti-inflammatory cytokines, and in cell survival, proliferation, and phagocytosis. trem2 and tyrobp form a transmembrane complex in microglia that modulates intracellular signaling networks, and these proteins are essential regulators of the transition from homeostatic to activated microglia. recent findings support a trem2-independent molecular signature that is involved in the early transition of homeostatic to disease-associated microglia (dam), with the next sequential step of dam activation from stage 1 to stage 2 being trem2-dependent. however, the underlying mechanisms determining how trem2 or tyrobp regulate these downstream phenotypes are largely unknown. we isolated primary microglia from c57bl/6 wild-type (wt) controls, trem2 knock-out (ko), and tyrobp ko mice at post-natal day 0-3. cells were treated with alzheimer’s disease (ad)-relevant stimuli, such as amyloid beta (aβ) oligomers or fibrils, or ‘neuroinflammatory-like’ stimuli, such as lipopolysaccharide (lps). we explored protein and gene expression in the presence or absence of inhibitors of the trem2/tyrobp downstream signaling pathway. we also performed a high-throughput olink proteomic analysis of conditioned media from wt, trem2 ko, and tyrobp ko stimulated with either lps or aβ oligomers or fibrils. our results show that the absence of either trem2 or tyrobp is associated with increased basal levels of phosphorylated erk in primary microglia compared to wt controls. in addition, trem2 ko and tyrobp ko cells show a less ramified cell morphology at baseline, as compared to wt microglia. moreover, stimulating primary microglia with either aβ oligomers or lps leads to differential protein and gene expression in cells lacking trem2 or tyrobp. the dysregulated downstream signal transduction and morphology in the absence of trem2 or tyrobp suggest their essential roles not only in microglial homeostasis but also in their activation in response to different stimuli.",Alzheimer's disease AND hippocampus AND control AND RNA-seq
GSE294900,Astrocytic Sox9 preserves cognitive function in models of Alsheimer's Disease [RNA-Seq],Mus musculus,22,2026/01/06,True,Expression profiling by high throughput sequencing,"astrocytes play essential roles in the brain and their dysfunction is associated with nearly every form of neurological disease. despite their ubiquity, our knowledge of how astrocytes contribute to disease pathogenesis is incomplete, accordingly harnessing their biology towards therapeutics remains a major challenge. here we show that the transcription factor sox9 plays a context specific role in maintaining astrocyte function and circuit activity in the aging hippocampus and alzheimer’s disease (ad) models. we found that sox9 overexpression in astrocytes in ad models clears existing amyloid beta (aβ) plaques and preserves cognitive function. mechanistically, sox9 promotes the phagocytosis of aβ plaques by astrocytes through the regulation of the phagocytic receptor megf10, which is sufficient to preserve cognitive function in ad models. collectively, these studies highlight new roles for astrocytic sox9 during aging and ad, while identifying sox9-megf10 signaling as a prospective astrocyte-based therapeutic approach to ameliorate cognitive decline in neurodegenerative disease.",Alzheimer's disease AND hippocampus AND control AND RNA-seq
GSE283201,Comparative gene expression profiling analysis of hippocampus and liver RNA-seq data for young (3-month-old) and aged (22-month-old) WT mice in both control and ethanol feeding conditions.,Mus musculus,32,2025/12/04,False,Expression profiling by high throughput sequencing,"alcohol consumption is believed to affect alzheimer's disease (ad) risk, but the contributing mechanisms are not well understood. a potential mediator of the proposed alcohol-ad connection is autophagy, a degradation pathway that maintains organelle and protein homeostasis. the purpose of this study is to explore whether chronic alcohol consumption worsens the age-related decline in lysosomal biogenesis in the brain and exacerbates cognitive decline associated with aging. to explore the effect of alcohol on brain autophagy, we exposed young (3-month old) and aged (23-month old) mice to chronic plus binge alcohol-feeding paradigms and the mouse brain and liver rna were extracted followed by rna sequencing analysis.",Alzheimer's disease AND hippocampus AND control AND RNA-seq
GSE305902,Loss of brain insulin production impairs learning and memory in female mice,Mus musculus,23,2025/12/02,False,Expression profiling by high throughput sequencing,"diabetes is a metabolic disorder characterized by dysfunctional insulin release and action, and it is a risk factor for alzheimer’s disease, the most common form of dementia. alterations in brain insulin signalling and metabolism have been linked with alzheimer’s disease in multiple studies. it has been previously shown that the ancestral insulin gene, ins2, is transcribed locally within the brain. here we demonstrate that ins2 mrna is higher in females than males, and modulated by diet. moreover, we demonstrate that the ins2 protein is prominently expressed within the hippocampus, a brain region with established roles in learning and memory. to specifically determine how insulin produced locally in the brain influences hippocampal function, learning and memory, and adult neurogenesis, we used mice with germline ins2 knockout (ins2-/-) and the normal complement of wildtype ins1 alleles. compensation from the ins1 gene, results in normal glucose tolerance, normal insulin sensitivity, normal fasting insulin, and normal body weight under these dietary conditions. we assessed visuo-spatial learning and memory in male and female ins2-/- and wild-type littermate control mice using the morris water maze (mwm). learning and memory performance of female ins2-/- mice was significantly impaired relative to wild-type mice, whereas the performance of male ins2-/- and wild-type mice did not differ. we profiled isolated hippocampi from female ins2-/- and littermate control mice using rna sequencing to provide an unbiased analysis of gene expression differences that underlie these behavioural changes. cyclin d1 (ccnd1) was significantly reduced in ins2-/- mice, prompting us to examine adult neurogenesis using exogenous mitotic marker edu and the immature neuronal marker doublecortin (dcx). collectively, our data demonstrate female-specific role for brain-derived ins2 on learning and memory function in mice.",Alzheimer's disease AND hippocampus AND control AND RNA-seq
GSE278158,A protective role of SRC-1 against aging associated cognitive decline,Mus musculus,6,2025/09/17,True,Expression profiling by high throughput sequencing,"the mechanisms underlying dementia, including alzheimer’s disease (ad), associated with aging remain elusive. our rna sequencing analysis (rna-seq) revealed that the loss of steroid receptor coactivator-1 (src-1) leads to alterations in gene expression signatures that are commonly associated with neurodegenerative diseases, including ad. consistent with previous findings, our research indicates that src-1 deficiency diminishes the neural plasticity of the hippocampal ca1 neurons. cognitive behavior tests demonstrate that both src-1-ko mice and mice with a humanized src-1 mutation (src-1l1376p) displayed early signs of contextual memory impairment at just 6 months of age, in contrast to the typical aging-associated memory decline observed in wild type mice at 18 months of age. these results suggest a protective role of src1 against aging-associated cognitive decline. to further explore the molecular mechanism, we reanalyzed publicly available spatial rna-seq data of both young and aged mouse brains. we found a synchronous decline in src-1 and s100 calcium-binding protein a6 (s100a6), an ad associated gene, in both the hypothalamus and hippocampus of aged brain. notably, our rna-seq data highlighted s100a6 as one of the most profoundly inhibited genes in src-1-ko mice. we also identified s100a6 and s100a11 as potential ad-associated genes that are downstream targets of src-1, offering novel perspectives on the protective role of src1 against cognitive decline due to aging.",Alzheimer's disease AND hippocampus AND control AND RNA-seq
GSE303458,Downregulation of NF-κB and NLRP3 in aging wildtype and amyloid β transgenic mice,Mus musculus,36,2025/07/25,False,Expression profiling by high throughput sequencing,"neuroinflammation is a key component of alzheimer's disease (ad), and it may be driven by the activation of nfκb and nlrp3 signaling pathways. ad pathology, like amyloid-β, may exacerbate the activation of these pathways. we used a nucleic acid therapeutic (nanoligomer) cocktail targeting nfκb and nlrp3 to reduce inflamamtory signaling in aged wildtype mice and a transgenic mouse model of amyloid-β pathology (app/ps1). short-term (3 days) treatment reversed age- and amyloid-β-related gene sigantures, supporting the idea that this nanoligomer cocktail may have the potential to improve ad-related neuroinflammation and cognitive dysfunction.",Alzheimer's disease AND hippocampus AND control AND RNA-seq
GSE295788,Lithium Deficiency and the Onset of Alzheimer’s Disease [3xTG_LiO],Mus musculus,18,2025/06/12,True,Expression profiling by high throughput sequencing,"the earliest molecular changes in alzheimer’s disease (ad) are poorly understood. here we show that endogenous lithium (li) is dynamically regulated in the brain and contributes to cognitive preservation during aging. we demonstrate that cortical uptake of li is the most significantly impaired of all metals analyzed in mild cognitive impairment (mci) and ad, and that li bioavailability is further reduced by amyloid sequestration. li deficiency was recapitulated by feeding ad model and wild-type mice a lithium-deficient diet. reducing endogenous cortical li by ~50% markedly elevated aβ deposition and phospho-tau accumulation, and led to proinflammatory microglial activation, synapse loss, and accelerated cognitive decline. these effects were mediated, at least in part, through activation of the kinase gsk3β in neurons, microglia, and oligodendrocytes. single nucleus rna-seq showed that li deficiency gives rise to significant transcriptome changes in all major brain cell types that overlap with transcriptome changes in ad. replacement therapy with lithium orotate (lio), a li salt with reduced amyloid sequestration, prevents pathological changes and memory loss in ad mouse models and aging wild-type mice at a physiological concentration. thus, li deficiency may be among the earliest molecular events that link amyloid deposition to protean multisystem effects on the brain. li replacement with amyloid-evading salts is a potentially novel therapeutic approach to ad and brain aging.",Alzheimer's disease AND hippocampus AND control AND RNA-seq
GSE275326,Lithium Deficiency and the Onset of Alzheimer’s Disease,Mus musculus,16,2025/06/12,True,Expression profiling by high throughput sequencing,"the earliest molecular changes in alzheimer’s disease (ad) are poorly understood. here we show that endogenous lithium (li) is dynamically regulated in the brain and contributes to cognitive preservation during aging. we demonstrate that cortical uptake of li is the most significantly impaired of all metals analyzed in mild cognitive impairment (mci) and ad, and that li bioavailability is further reduced by amyloid sequestration. li deficiency was recapitulated by feeding ad model and wild-type mice a lithium-deficient diet. reducing endogenous cortical li by ~50% markedly elevated aβ deposition and phospho-tau accumulation, and led to proinflammatory microglial activation, synapse loss, and accelerated cognitive decline. these effects were mediated, at least in part, through activation of the kinase gsk3β in neurons, microglia, and oligodendrocytes. single nucleus rna-seq showed that li deficiency gives rise to significant transcriptome changes in all major brain cell types that overlap with transcriptome changes in ad. replacement therapy with lithium orotate (lio), a li salt with reduced amyloid sequestration, prevents pathological changes and memory loss in ad mouse models and aging wild-type mice at a physiological concentration. thus, li deficiency may be among the earliest molecular events that link amyloid deposition to protean multisystem effects on the brain. li replacement with amyloid-evading salts is a potentially novel therapeutic approach to ad and brain aging.",Alzheimer's disease AND hippocampus AND control AND RNA-seq
GSE243390,Multisensory gamma stimulation enhances adult neurogenesis and improves cognitive function in male mice with Down Syndrome,Mus musculus,6,2025/04/25,False,Expression profiling by high throughput sequencing,"multisensory gamma stimulation (mgs) has previously been linked with improved cognitive performance in mouse models and patients with alzheimer´s disease (ad). in this study, we aimed to investigate the effects of chronic exposure to mgs in ts65dn mice, a mouse model of down syndrome (ds). for three weeks, mice were exposed daily to one hour of multisensory audiovisual stimulation or, as a control, one hour of ambient light and sound. mice receiving mgs showed improved object recognition and spatial working memory. to gain mechanistic insight into how mgs improves cognitive function in ts65dn mice, we conducted single-nuclei rna-seq (snrna-seq) of hippocampal samples from control and treated mice. we found upregulation of genes related to synaptic organization and downregulation of genes related to aging and ad. moreover, we detected upregulation of neurogenesis-related genes in the dentate gyrus. we validated these observations by demonstrating increased adult neurogenesis following mgs treatment. a potential mechanism underlying this mgs-mediated increase in adult neurogenesis is increased mitochondrial fusion. together, our data indicate that mgs can ameliorate cognitive impairment in ds mice through modulation of conserved gene regulatory signatures and enhanced neurogenesis in hippocampal regions. these findings suggest that multisensory 40 hz stimulation may have potential as a therapeutic approach to boost cognitive performance in individuals with down syndrome.",Alzheimer's disease AND hippocampus AND control AND RNA-seq
GSE264258,Hippocampal CA1 Pyramidal Neurons Display Sublayer and Circuitry Dependent Degenerative Expression Profiles in Aged Female Down Syndrome Mice,Mus musculus,66,2024/08/26,True,Expression profiling by high throughput sequencing,"people with down syndrome (ds) have intellectual disability (id) and develop hallmark alzheimer’s disease (ad) pathology during midlife. there are several circuits underlying memory and executive function in the ds and ad brain that are particularly vulnerable and degenerate early in disease, most notably the septohippocampal circuit and the trisynaptic loop in the hippocampus. a fundamental lack of knowledge exists as to the etiology and mechanisms of disease progression within these critical circuits vulnerable to degeneration in ds, ad, and relevant models. this is compounded by new evidence that suggests spatial localization of neurons has profound effects on activity and innervation within the hippocampal ca1 region. we postulated gene expression changes in a ds mouse model, at a time that these circuits of input to the ca1 are degraded, would have a significant effect on gene expression in ca1 pyramidal neurons. further, this dysfunction may be specific to spatial localization and innervation. laser capture microscopy on pyramidal neurons from ca1 was performed, isolating the entire ca1 pyramidal neuron layer, which was compared to select populations of deep and superficial pyramidal neurons from ca1a (distal ca1, adjacent to the subiculum). rna-seq and bioinformatic analysis was performed where profound differences in dysregulation in the ds mouse model based on their spatial location and postulated circuitry were examined.",Alzheimer's disease AND hippocampus AND control AND RNA-seq
GSE251888,Nanoligomers targeting NF-κB and NLRP3 reduce neuroinflammation and improve cognitive function with aging and tauopathy,Mus musculus,24,2024/02/07,True,Expression profiling by high throughput sequencing,"neuroinflammation contributes to impaired cognitive function in brain aging and neurodegenerative disorders like alzheimer’s disease, which is characterized by the aggregation of pathological tau. one major driver of both age- and tau-associated neuroinflammation is the nf-κb and nlrp3 signaling axis. however, current treatments targeting nf-κb or nlrp3 may have adverse/systemic effects, and most have not been clinically translatable. here, we tested the efficacy of a novel, nucleic acid therapeutic (nanoligomer) cocktail specifically targeting both nf-κb and nlrp3 in the brain for reducing neuroinflammation and improving cognitive function in old wildtype mice, and in a mouse model of tauopathy. we found that 4 weeks of nf-κb/nlrp3-targeting nanoligomer treatment strongly reduced neuro-inflammatory cytokine profiles in the brain and improved cognitive-behavioral function in both old and tauopathy mice. these effects of nf-κb/nlrp3-targeting nanoligomer treatment were associated with reduced glial cell activation in old wildtype mice, less pathology in tauopathy mice, favorable changes in transcriptome signatures of inflammation (reduced) and neuronal health (increased) in both mouse models, and no adverse systemic effects. collectively, our results provide a basis for future translational studies targeting nf-κb/nlrp3 in the brain, perhaps using nanoligomers, to inhibit neuroinflammation and improve cognitive function with aging and neurodegenerative disease.",Alzheimer's disease AND hippocampus AND control AND RNA-seq
GSE231341,Modeling early-onset sporadic Alzheimer’s disease using iPSC-derived neurons,Homo sapiens,24,2023/11/21,True,Expression profiling by high throughput sequencing,"non-familial alzheimer’s disease (ad) occurring before 65 years of age is commonly referred to as early-onset alzheimer’s disease (eoad) and constitutes ~5-6% of all alzheimer’s disease (ad) cases. while eoad exhibits the same clinicopathological changes such as amyloid plaques, neurofibrillary tangles (nfts), brain atrophy, and cognitive decline as observed in the more prevalent late-onset ad (load), eoad patients tend to have more severe cognitive deficits, including visuospatial, language, and motor dysfunction. patient-derived induced pluripotent stem cells (ipscs) have been used to model and study penetrative, familial ad (fad) mutations in app, psen1, and psen2, but have been seldom used for sporadic forms of ad that display more heterogeneous disease manifestation. in this study, we sought to characterize ipsc-derived neurons from eoad patients via rna-sequencing. a modest difference in expression profiles between eoad patients and non-demented control subjects resulted in a limited number of differentially expressed genes (degs). based on this analysis, we provide evidence that ipsc-derived neuron model systems, likely due to the loss of eoad-associated epigenetic signatures during the ipsc reprogramming, are not an ideal model system to study sporadic ad.",Alzheimer's disease AND hippocampus AND control AND RNA-seq
GSE225181,Sleep-active hypothalamic MCH-system modulates hippocampal synaptic plasticity and is vulnerable in early Alzheimer’s Disease,Mus musculus,8,2023/09/07,True,Expression profiling by high throughput sequencing,"in alzheimer’s disease (ad), pathophysiological changes in the hippocampus cause deficits in episodic memory formation, leading to cognitive impairment. hippocampal hyperactivity and decreased sleep quality are associated with early ad, but their basis is poorly understood. we find that homeostatic mechanisms transiently counteract increased excitatory drive of hippocampal ca1 neurons in appnl-g-f mice, but fail to stabilize it at control levels. spatial transcriptomics (st) analysis identifies the pmch gene encoding melanin-concentrating hormone (mch) as part of the adaptive response in appnl-g-f mice. hypothalamic mch peptide is produced in sleep-active lateral hypothalamic neurons that project to ca1 and modulate memory. we show that mch downregulates synaptic transmission and modulates firing rate homeostasis in hippocampal neurons. moreover, mch reverses the increased excitatory drive of ca1 neurons in appnl-g-f mice. consistent with our finding that a reduced fraction of mch-neurons is active in appnl-g-f mice, these animals spend less time in rapid eye movement (rem) sleep. in addition, mch-axons projecting to ca1 become progressively impaired in both appnl-g-f mice and ad patients. our findings identify the mch-system as vulnerable in early ad and suggest that impaired mch-system function contributes to aberrant excitatory drive and sleep defects, which can compromise hippocampal-dependent functions.",Alzheimer's disease AND hippocampus AND control AND RNA-seq
GSE219130,Brain hypothyroidism leads to immune tolerance in microglia in Alzheimer's disease [scRNA-seq],Mus musculus,1,2023/09/01,True,Expression profiling by high throughput sequencing,"an imbalance in thyroid hormones (ths) is associated with reversible dementia and alzheimer’s disease (ad) pathogenesis. whether hypothyroidism occurs in ad brains and how it affects ad pathology remain largely unknown. here, we find that reduced conversion of thyroxine (t4) to tri-iodothyronine (t3) in the brain by decreased iodothyronine deiodinase 2 (dio2) leads to hippocampal hypothyroidism in early ad model mice prior to th changes in the blood. a th deficiency causes immune tolerance with decreased phagocytic activity in microglia, thereby aggravating ad pathology. we demonstrate that microglial ecto-5’-nucleotidase (cd73) is reduced in the hypothyroid state and that its inhibition contributes to immune tolerance in microglia. thus, our data define a molecular mechanism through which decreased conversion of t4 to t3 in the early ad brain, and consequent brain hypothyroidism causes microglial dysfunction and exacerbates ad pathology.",Alzheimer's disease AND hippocampus AND control AND RNA-seq
GSE216643,Silc1 long noncoding RNA is required for efficient memory formation,Mus musculus,53,2023/07/29,True,Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing,"a rich repertoire of long noncoding rnas (lncrnas) is expressed in the mammalian nervous system, but their significance and functions remain largely unknown. co-expression analysis, referred to as guilt-by-association, is often used as a proxy for prediction of lncrna function, but the validity of the assumptions of this approach remains unclear. here, we study the functions in the central nervous system of silc1, a lncrna we previously shown to be important for neuroregeneration in the peripheral nervous system. silc1 is located in a gene desert ~200 kb away from its cis-regulated target gene, sox11. silc1 is broadly expressed in the adult brain, and surprisingly, in the hippocampus silc1 and sox11 are anti-correlated in their expression domains. despite this, upon exposure to novel environment, silc1 transcription or its rna product are important for proper induction of sox11 mrna and protein throughout ca1-3, and for proper expression of key sox11 target genes. furthermore, an intact silc1 is required for efficient spatial learning (but notably not for memory retrieval). silc1 levels decline during aging and in models of alzheimer’s disease. overall, we uncover a novel pathway, acting in mature neurons, which need silc1 to activate sox11, a transcription factor mostly studied exclusively in the context of immature neurons, and in turn to induce a neuronal growth-associted transcriptional program required for efficient memory formation.",Alzheimer's disease AND hippocampus AND control AND RNA-seq
GSE212606,A global view of aging and Alzheimer’s pathogenesis-associated cell population dynamics in mammalian brain,Homo sapiens; Mus musculus,3,2023/05/26,True,Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing,"prior studies applied single-cell approaches to explore gene expression changes in aged brains; however, they were limited by relatively shallow sampling of brain cell populations, and thus failed to characterize the detailed molecular signatures and dynamics of rare cell types associated with aging and diseases. here, we set out to investigate the age-dependent transcriptional and chromatin dynamics across diverse brain cell types. with easysci, an extensively improved single-cell combinatorial indexing strategy, we profiled ~1.5 million single-cell transcriptomes with full gene body coverage and ~400,000 single-cell chromatin accessibility profiles across mouse brains spanning different ages, genotypes, and both sexes. with a novel computational framework designed for characterizing cellular subtypes based on the expression of both genes and exons, we identified > 300 cell subtypes and deciphered the underlying molecular programs and spatial locations of rare cell types (e.g., pinealocytes, tanycytes). leveraging the data, we generated a global readout of age-dependent cell population dynamics with great cellular subtype resolution, providing insights into expanded cell types (e.g., rare astrocytes and vascular leptomeningeal cells in olfactory bulb, reactive microglia and oligodendrocytes) and depleted cell types (e.g., neuronal progenitors, neuroblasts, committed oligodendrocyte precursors) in development and ageing. furthermore, we explored cell-type-specific responses to genetic perturbations associated with alzheimer’s disease and discovered rare cell types depleted (e.g., mt-cytb+, mt-rnr2+ choroid plexus epithelial cells) or enriched (e.g., col25a1+ ndrg1+ interbrain and midbrain neurons) in both ad models. key findings are consistent between males and females, validated across the transcriptome, chromatin accessibility, and spatial analysis. in summary, these data comprise a rich resource for exploring cell-type-specific population dynamics and the underlying molecular mechanisms in the mammalian aging process.",Alzheimer's disease AND hippocampus AND control AND RNA-seq
