accession,title,organism,n_samples,date,platform,type,query
GSM176406,Substantia Nigra Reticulata 2 Disease,Homo sapiens,0.0,2007/04/09,570,,Parkinson's disease AND substantia nigra AND GPL570
GSM176405,Substantia Nigra Pars Compacta 3 Disease,Homo sapiens,0.0,2007/04/09,570,,Parkinson's disease AND substantia nigra AND GPL570
GSE30335,Genomic Signatures for Pesticide Exposure in Latino Farmworkers,Homo sapiens,40.0,2019/12/31,570,Expression profiling by array,Parkinson's disease AND blood AND GPL570
GSE95427,Expression profiling of H4 cells expressing a Myc tagged aSyn construct,Homo sapiens,8.0,2017/07/31,570,Expression profiling by array,Parkinson's disease AND blood AND GPL570
GSE99039,A blood-based gene signature characterizing Idiopathic Parkinson's disease,Homo sapiens,558.0,2017/05/20,570,Expression profiling by array,Parkinson's disease AND blood AND GPL570
GSE29773,Gene Expression Data for Generation of isogenic pluripotent stem cells differing exclusively at two early onset Parkinson point mutations,Homo sapiens,12.0,2011/07/26,13695,Expression profiling by array,Parkinson's disease AND blood AND GPL570
GSE24598,The human nose harbours a niche of olfactory ecto-mesenchymal stem cells displaying neurogenic and osteogenic properties,Homo sapiens,29.0,2010/10/08,96;570,Expression profiling by array,Parkinson's disease AND blood AND GPL570
GSE7179,Comparison of gene expression data between wild-type and DM1-affected undifferentiated hES cells.,Homo sapiens,9.0,2010/02/24,570,Expression profiling by array,Parkinson's disease AND blood AND GPL570
GSE7178,Comparison of gene expression data between wild-type and DM1-affected Neural Precursors Cells (NPC),Homo sapiens,9.0,2010/02/24,570,Expression profiling by array,Parkinson's disease AND blood AND GPL570
GSE7177,Comparison of gene expression data between wild-type and DM1-affected Mesodermal Precursors Cells (MPC),Homo sapiens,9.0,2010/02/24,570,Expression profiling by array,Parkinson's disease AND blood AND GPL570
GSE20153,Expression analysis of lymphoblast cells lines in Parkinson's disease,Homo sapiens,16.0,2010/02/04,570,Expression profiling by array,Parkinson's disease AND blood AND GPL570
GSE14711,Parkinson’s disease patient-derived induced pluripotent stem cells free of viral reprogramming factors,Homo sapiens,11.0,2009/03/06,570,Expression profiling by array,Parkinson's disease AND blood AND GPL570
GSE9807,Expression data from RNAi SNCA treated human neuroblastoma cell line,Homo sapiens,6.0,2009/02/01,570,Expression profiling by array,Parkinson's disease AND blood AND GPL570
GSE14429,Alteration of gene expression profile in HEK293 cells treated with proteasome inhibitor epoxomicin,Homo sapiens,12.0,2009/01/15,570,Expression profiling by array,Parkinson's disease AND blood AND GPL570
GSM505623,ND 06449 Pm,Homo sapiens,0.0,2010/02/04,570,,Parkinson's disease AND blood AND GPL570
GSM505617,ND 04424 Pm,Homo sapiens,0.0,2010/02/04,570,,Parkinson's disease AND blood AND GPL570
GSM505607,ND 04158 Pf,Homo sapiens,0.0,2010/02/04,570,,Parkinson's disease AND blood AND GPL570
GSM505606,ND 03432 Pf,Homo sapiens,0.0,2010/02/04,570,,Parkinson's disease AND blood AND GPL570
GSM505314,ND 02852 Pm,Homo sapiens,0.0,2010/02/04,570,,Parkinson's disease AND blood AND GPL570
GSM505313,ND 02579 Pm,Homo sapiens,0.0,2010/02/04,570,,Parkinson's disease AND blood AND GPL570
GSM505312,ND 01737 Pf,Homo sapiens,0.0,2010/02/04,570,,Parkinson's disease AND blood AND GPL570
GSM505308,ND 01173 Pf,Homo sapiens,0.0,2010/02/04,570,,Parkinson's disease AND blood AND GPL570
GSM367258,iPS PDB 2lox-17,Homo sapiens,0.0,2009/03/06,570,,Parkinson's disease AND blood AND GPL570
GSM367245,iPS PDB 2lox-21,Homo sapiens,0.0,2009/03/06,570,,Parkinson's disease AND blood AND GPL570
GSM367244,iPS PDB 2lox-22,Homo sapiens,0.0,2009/03/06,570,,Parkinson's disease AND blood AND GPL570
GSM367243,iPS PDB 2lox-5,Homo sapiens,0.0,2009/03/06,570,,Parkinson's disease AND blood AND GPL570
GSM367242,iPS PDB 1lox-21Puro-26,Homo sapiens,0.0,2009/03/06,570,,Parkinson's disease AND blood AND GPL570
GSM367241,iPS PDB 1lox-21Puro-20,Homo sapiens,0.0,2009/03/06,570,,Parkinson's disease AND blood AND GPL570
GSM367240,iPS PDB 1lox-17Puro-10,Homo sapiens,0.0,2009/03/06,570,,Parkinson's disease AND blood AND GPL570
GSM367219,iPS PDB 1lox-17Puro-5,Homo sapiens,0.0,2009/03/06,570,,Parkinson's disease AND blood AND GPL570
GPL10558,Illumina HumanHT-12 V4.0 expression beadchip,Homo sapiens,105827.0,2010/06/17,10558,,Parkinson's disease AND blood AND GPL10558
GSM1318551,RNA pool from PD patients 1-5,Homo sapiens,0.0,2014/01/31,10558,,Parkinson's disease AND blood AND GPL10558
GSM1318550,PD patient 4,Homo sapiens,0.0,2014/01/31,10558,,Parkinson's disease AND blood AND GPL10558
GSM1318549,PD patient 3,Homo sapiens,0.0,2014/01/31,10558,,Parkinson's disease AND blood AND GPL10558
GSM1318548,PD patient 2,Homo sapiens,0.0,2014/01/31,10558,,Parkinson's disease AND blood AND GPL10558
GSM1318547,PD patient 1,Homo sapiens,0.0,2014/01/31,10558,,Parkinson's disease AND blood AND GPL10558
GSE99253,Human iPSC-derived dopaminergic neurons function in primate Parkinson’s disease models,Homo sapiens,14.0,2017/08/21,6244,Expression profiling by array,Parkinson's disease AND brain AND GPL6244
GSE51214,Isolation of human iPSC-derived dopaminergic progenitors by cell sorting,Homo sapiens,20.0,2014/03/07,6244,Expression profiling by array,Parkinson's disease AND brain AND GPL6244
GSE29774,Generation of isogenic pluripotent stem cells differing exclusively at two early onset Parkinson point mutations,Homo sapiens,18.0,2011/07/26,6801;13695,Genome variation profiling by SNP array; Expression profiling by array,SNCA AND Parkinson AND GPL570
GSE54765,"1,25-dihydroxyvitamin D3 triggers an anti-inflammatory response in brain pericyte",Homo sapiens,4.0,2017/01/01,570,Expression profiling by array,Alzheimer's disease AND control AND GPL570
GSE48350,Alzheimer's Disease Dataset,Homo sapiens,253.0,2014/04/21,570,Expression profiling by array,Alzheimer's disease AND control AND GPL570
GSE30643,Expression data from parietal cortex of G114V genetic Creutzfeldt-Jakob disease patient,Homo sapiens,2.0,2013/07/01,570,Expression profiling by array,Alzheimer's disease AND control AND GPL570
GDS4141,Alzheimer's disease: induced pluripotent stem cells with Presenilin 2 mutation (N141),Homo sapiens,4.0,2011/09/10,570,Expression profiling by array,Alzheimer's disease AND control AND GPL570
GSE28146,Microarray analyses of laser-captured hippocampus reveal distinct gray and white matter signatures associated with incipient Alzheimer’s disease,Homo sapiens,30.0,2011/08/01,570,Expression profiling by array,Alzheimer's disease AND control AND GPL570
GDS4136,Various stages of Alzheimer's disease: laser-captured hippocampal CA1 gray matter,Homo sapiens,30.0,2011/08/01,570,Expression profiling by array,Alzheimer's disease AND control AND GPL570
GSE16759,mRNA and miRNA expression in parietal lobe cortex in Alzheimer's disease,Homo sapiens,16.0,2010/01/31,570;8757,Expression profiling by array; Non-coding RNA profiling by array,Alzheimer's disease AND control AND GPL570
GSE5281,Alzheimer's disease and the normal aged brain (steph-affy-human-433773),Homo sapiens,161.0,2006/07/10,570,Expression profiling by array,Alzheimer's disease AND control AND GPL570
GSE175735,The effect of homocysteine on Human Aortic Endothelial Cells [RNA],Homo sapiens,6.0,2021/05/29,6244,Expression profiling by array,Alzheimer's disease AND control AND GPL6244
GSE80245,Expression data from the neuron model of Alzheimer's disease (AD) with or without treatment of recombinant human mitochondrial transcriptional factor A (rhTFAM) protein,Homo sapiens,6.0,2016/12/01,6244,Expression profiling by array,Alzheimer's disease AND control AND GPL6244
GSE31163,Human induced pluripotent stem cells derived from a sporadic Alzheimer's disease patient,Homo sapiens,8.0,2015/12/31,6244,Expression profiling by array,Alzheimer's disease AND control AND GPL6244
GSE58959,NLRP3 inflammasome activation-responsive genes in a human monocyte cell line THP-1,Homo sapiens,3.0,2014/07/01,6244,Expression profiling by array,Alzheimer's disease AND control AND GPL6244
GSE36980,Expression data from post mortem Alzheimer's disease brains,Homo sapiens,80.0,2013/04/17,6244,Expression profiling by array,Alzheimer's disease AND control AND GPL6244
GDS4758,Postmortem Alzheimer's disease brains: Hisayama study,Homo sapiens,79.0,2013/04/17,6244,Expression profiling by array,Alzheimer's disease AND control AND GPL6244
GSE43326,"Gene expression data from iPSC-derived neural cells, comparison between APP wild and E693delta mutation",Homo sapiens,6.0,2013/03/22,6244,Expression profiling by array,Alzheimer's disease AND control AND GPL6244
GSE33503,Gene expression profile of DAP12 knockdown THP-1 cells following exposure to phorbol 12-myristate 13-acetate,Homo sapiens,4.0,2011/11/17,6244,Expression profiling by array,Alzheimer's disease AND control AND GPL6244
GSE33500,"Gene expression profile of THP-1 monocytes following knockdown of DAP12, a causative gene for Nasu-Hakola disease",Homo sapiens,3.0,2011/11/17,6244,Expression profiling by array,Alzheimer's disease AND control AND GPL6244
GDS4137,Nasu-Hakola disease model: DAP12 knockdown THP-1 clones,Homo sapiens,4.0,2011/11/17,6244,Expression profiling by array,Alzheimer's disease AND control AND GPL6244
GSE25496,Transcriptome analysis of the Nasu-Hakola disease brain,Homo sapiens,2.0,2010/11/20,6244,Expression profiling by array,Alzheimer's disease AND control AND GPL6244
GPL6244,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version],Homo sapiens,38703.0,2007/12/05,6244,,Alzheimer's disease AND control AND GPL6244
GSE139384,"Synaptopathy in Kii ALS/PDC, a disease concept based on transcriptome analyses of human brains",Homo sapiens,33.0,2019/10/26,10558,Expression profiling by array,Alzheimer's disease AND control AND GPL10558
GSE118553,Transcriptomic analysis of probable asymptomatic and symptomatic Alzheimer Brains,Homo sapiens,401.0,2019/07/22,10558,Expression profiling by array,Alzheimer's disease AND control AND GPL10558
GSE63063,"Alzheimer, Mild Cognitive impairment and control samples from AddneuroMed Cohort",Homo sapiens,717.0,2015/08/05,10558;6947,Expression profiling by array,Alzheimer's disease AND control AND GPL10558
GSE63061,"Alzheimer, Mild Cognitive impairment and control samples from AddneuroMed Cohort (batch 2)",Homo sapiens,388.0,2015/08/05,10558,Expression profiling by array,Alzheimer's disease AND control AND GPL10558
GSE58364,Human leukocytes from 6 volunteers before and 2h after pectin capsules consumption (IV),Homo sapiens,12.0,2014/06/10,10558,Expression profiling by array,Alzheimer's disease AND control AND GPL10558
GSE58349,Human leukocytes from 6 volunteers before and 2h after pectin capsules consumption (II),Homo sapiens,12.0,2014/06/10,10558,Expression profiling by array,Alzheimer's disease AND control AND GPL10558
GSE58348,Human leukocytes from 6 volunteers before and 2h after pectin capsules consumption (I),Homo sapiens,12.0,2014/06/10,10558,Expression profiling by array,Alzheimer's disease AND control AND GPL10558
GSE34879,Probing sporadic and familial Alzheimer?s disease using induced pluripotent stem cells.,Homo sapiens,38.0,2012/01/06,10558,Expression profiling by array,Alzheimer's disease AND control AND GPL10558
GSM856938,iPSC_APPdp2.3__683.1917.1.1,Homo sapiens,0.0,2012/01/06,10558,,Alzheimer's disease AND control AND GPL10558
GSM856919,diff.neuron.APPdp2.3_683.1915.2.1,Homo sapiens,0.0,2012/01/06,10558,,Alzheimer's disease AND control AND GPL10558
GSE110298,Hippocampal gene expression patterns linked to late-life physical activity opposes age and AD-related transcriptional decline,Homo sapiens,34.0,2018/12/31,570,Expression profiling by array,Alzheimer's disease AND hippocampus AND GPL570
GSE84422,Molecular Signatures Underlying Selective Regional Vulnerability to Alzheimer's Disease,Homo sapiens,2004.0,2016/08/19,570;96;97,Expression profiling by array,Alzheimer's disease AND hippocampus AND GPL570
GSE17312,BI Human Reference Epigenome Mapping Project,Homo sapiens,633.0,2009/08/05,11154;9115;570;10999,Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by array,Alzheimer's disease AND hippocampus AND GPL570
GSE9770,Non-demented individuals with intermediate Alzheimer's neuropathologies - neuronal expression (6 regions),Homo sapiens,34.0,2007/12/05,570,Expression profiling by array,Alzheimer's disease AND hippocampus AND GPL570
GSM242054,non-demented individual with intermediate Alzheimer's pathologies - hippocampus 6,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND hippocampus AND GPL570
GSM242053,non-demented individual with intermediate Alzheimer's pathologies - hippocampus 5,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND hippocampus AND GPL570
GSM242052,non-demented individual with intermediate Alzheimer's pathologies - hippocampus 4,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND hippocampus AND GPL570
GSM242051,non-demented individual with intermediate Alzheimer's pathologies - hippocampus 3,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND hippocampus AND GPL570
GSM242050,non-demented individual with intermediate Alzheimer's pathologies - hippocampus 2,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND hippocampus AND GPL570
GSM242049,non-demented individual with intermediate Alzheimer's pathologies - hippocampus 1,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND hippocampus AND GPL570
GSM238808,HIP_affected_10,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND hippocampus AND GPL570
GSM238807,HIP_affected_9,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND hippocampus AND GPL570
GSM238806,HIP_affected_8,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND hippocampus AND GPL570
GSM238805,HIP_affected_7,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND hippocampus AND GPL570
GSM238804,HIP_affected_6,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND hippocampus AND GPL570
GSM238803,HIP_affected_5,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND hippocampus AND GPL570
GSM238802,HIP_affected_4,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND hippocampus AND GPL570
GSM238801,HIP_affected_3,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND hippocampus AND GPL570
GSM238800,HIP_affected_2,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND hippocampus AND GPL570
GSM238799,HIP_affected_1,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND hippocampus AND GPL570
GSE318045,Whole transcriptome microarray gene expression profiling of cerebral cortex specimens from glioblastoma patients (Group1),Homo sapiens,10.0,2026/02/16,570,Expression profiling by array,Alzheimer's disease AND cortex AND GPL570
GSE66333,Neuronal DNA damage response-associated dysregulation of signalling pathways and cholesterol metabolism at th earliest stages of Alzheimer-type pathology,Homo sapiens,8.0,2015/06/02,570,Expression profiling by array,Alzheimer's disease AND cortex AND GPL570
GSE29652,Microarray analysis of the astrocyte transcriptome in the ageing brain: relationship to Alzheimer's pathology and ApoE genotype,Homo sapiens,18.0,2011/06/01,570,Expression profiling by array,Alzheimer's disease AND cortex AND GPL570
GDS4135,Postmortem temporal cortex from Medical Research Council Cognitive Function and Ageing Study (MRC-CFAS) cohort: astrocytes,Homo sapiens,18.0,2011/06/01,570,Expression profiling by array,Alzheimer's disease AND cortex AND GPL570
GSE21779,"Gene expression data from temporal cortex of young adult, old and AD-like Microcebus murinus",Microcebus murinus; Homo sapiens,18.0,2011/04/01,570,Expression profiling by array,Alzheimer's disease AND cortex AND GPL570
GDS4128,Model of cerebral aging and Alzheimer's disease: temporal cortex,Homo sapiens; Microcebus murinus,18.0,2011/04/01,570,Expression profiling by array,Alzheimer's disease AND cortex AND GPL570
GSE4757,Alzheimer’s disease: neurofibrillary tangles (Rogers-3U24NS043571-01S1),Homo sapiens,20.0,2006/05/02,570,Expression profiling by array,Alzheimer's disease AND cortex AND GPL570
GDS2795,Alzheimer's disease: neurofibrillary tangles,Homo sapiens,20.0,2006/05/02,570,Expression profiling by array,Alzheimer's disease AND cortex AND GPL570
GSM242089,non-demented individual with intermediate Alzheimer's pathologies - primary visual cortex 5,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND cortex AND GPL570
GSM242088,non-demented individual with intermediate Alzheimer's pathologies - primary visual cortex 4,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND cortex AND GPL570
GSM242087,non-demented individual with intermediate Alzheimer's pathologies - primary visual cortex 3,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND cortex AND GPL570
GSM242086,non-demented individual with intermediate Alzheimer's pathologies - primary visual cortex 2,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND cortex AND GPL570
GSM242085,non-demented individual with intermediate Alzheimer's pathologies - primary visual cortex 1,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND cortex AND GPL570
GSM242065,non-demented individual with intermediate Alzheimer's pathologies - posterior cingulate cortex 5,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND cortex AND GPL570
GSM242064,non-demented individual with intermediate Alzheimer's pathologies - posterior cingulate cortex 4,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND cortex AND GPL570
GSM242063,non-demented individual with intermediate Alzheimer's pathologies - posterior cingulate cortex 3,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND cortex AND GPL570
GSM242062,non-demented individual with intermediate Alzheimer's pathologies - posterior cingulate cortex 2,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND cortex AND GPL570
