accession,title,organism,n_samples,date,has_pub,type,platform,summary,query
GSE4773,Greene-5P01NS017771-220003,Homo sapiens,21,2006/06/06,False,Expression profiling by array,570,"parkinson's disease is a prevalent neurodegenerative disorder for which there is no cure. the cause of pd symptoms is loss of dopamine neurons in the midbrain, but it is not known why these neurons die. pesticide exposure is epidemiologically associated with pd, and administration of the organic pesticide rotenone to rats recapitulates most of the behavioral, neurochemical, and neuropathological findings in pd, including specific death of dopamine neurons. we have developed an in vitro model of rotenone toxicity using a dopaminergic cell line (sk-n-mc neuroblastoma cells) that mimics many of the cellular changes seen with in vivo rotenone toxicity and with pd, such as alpha-synuclein aggregation and oxidative damage. we are currently using this simple model to explore mechanisms of dopaminergic neurodegeneration, with our ultimate goal being the discovery of novel mechanisms for dopaminergic neuroprotection in pd. we will examine gene expression profiles of cultured sk-n-mc cells at several time points during rotenone exposure to determine pathways involved in rotenone toxicity and dopaminergic degeneration. we will compare these profiles to baseline profiles of rodent dopaminergic neurons that we have already obtained, as well as to profiles of dopamine neurons from rotenone-treated rats that we will obtain in the near future. we will also compare these data to published results from sn neurons from human pd patients. this technique will not only help us to detect gene expression changes relevant to dopaminergic neurodegeneration in pd, but it will allow us to determine if the sk-n-mc system can be reliably used to screen for neuroprotective therapies for pd. we anticipate that sk-n-mc cells will show a relevant subset of the gene changes seen in dopamine neurons in vivo and that this will guide us in the sorts of mechanisms and drugs that can be screened in this system. chronic exposure to low levels of rotenone causes changes in gene expression in sk-n-mc cells that sensitize the cells to toxic insults. we also hypothesize that there are several compensatory protective pathways that are stimulated by chronic rotenone, although these pathways are ultimately ineffective at preventing damage. we anticipate that gene expression profiling of rotenone-treated cells over time will suggest several novel strategies for neuroprotective intervention. sk-n-mc cells will be grown in three different media: media only, vehicle (etoh), and rotenone (5 nm). all current experimental evidence in our lab indicates that vehicle-treated cells are indistinguishable from media-only cells. rotenone-treated cellls have a stereotypical response in culture. at one week, the only noticed change is an increase in alph-synuclein aggregation. at two weeks, evidence of increased oxidative stress appears (increased protein carbonyls and lipid peroxidation). at four weeks, the cells are markedly sensitized to oxidative challenge with h2o2. therefore, we will examine gene expression at baseline, and during 1, 2, and 4 weeks of rotenone treatment. three experiments will be performed, each lasting 4 weeks. for each experiment, three separate dishes of vehicle-treated, and rotenone-treated cells will be harvested at 1, 2, and 4 weeks (18 independent samples). untreated, media-only cells will be harvested after 1 week in vitro to serve as baseline cells. total rna will be isolated. an equal amount of rna from one dish per experiment per group will be used to compose the final samples. therefore, each independent sample will consist of rna from 3 separate experiments. this will allow us to take advantage of a pooling strategy, yet not sacrifice technical and biological replication. 21 samples will be sent to the consortium. three will be from untreated cells. nine will be vehicle-treated at 1, 2, and 4 weeks (3 each). nine will be rotenone-treated at 1, 2 , and 4 weeks (3 each). each sample will be labeled and hybridized to one affymetrix human genome u133 plus 2.0 gene chip. with assistance of the consortium, we will analyze the data using the signifiance analysis of microarrays (sam) program and self-organizing map algorithms. keywords: time-course",Parkinson's disease AND control AND GPL570
GPL570,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,Homo sapiens,176371,2003/11/07,False,,570,"affymetrix submissions are typically submitted to geo using the geoarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html june 03, 2009: annotation table updated with netaffx build 28 june 06, 2012: annotation table updated with netaffx build 32 june 23, 2016: annotation table updated with netaffx build 35 protocol: see manufacturer's web site complete coverage of the human genome u133 set plus 6,500 additional genes for analysis of over 47,000 transcripts all probe sets represented on the genechip human genome u133 set are identically replicated on the genechip human genome u133 plus 2.0 array. the sequences from which these probe sets were derived were selected from genbank®, dbest, and refseq. the sequence clusters were created from the unigene database (build 133, april 20, 2001) and then refined by analysis and comparison with a number of other publicly available databases, including the washington university est trace repository and the university of california, santa cruz golden-path human genome database (april 2001 release). in addition, there are 9,921 new probe sets representing approximately 6,500 new genes. these gene sequences were selected from genbank, dbest, and refseq. sequence clusters were created from the unigene database (build 159, january 25, 2003) and refined by analysis and comparison with a number of other publicly available databases, including the washington university est trace repository and the ncbi human genome assembly (build 31).",Parkinson's disease AND control AND GPL570
GSM184378,Substantia nigra PD rep16,Homo sapiens,0,2007/06/14,False,,570,postmortem human substantia nigra,Parkinson's disease AND control AND GPL570
GSM184377,Substantia nigra PD rep15,Homo sapiens,0,2007/06/14,False,,570,postmortem human substantia nigra,Parkinson's disease AND control AND GPL570
GSM184376,Substantia nigra PD rep14,Homo sapiens,0,2007/06/14,False,,570,postmortem human substantia nigra,Parkinson's disease AND control AND GPL570
GSM184375,Substantia nigra PD rep13,Homo sapiens,0,2007/06/14,False,,570,postmortem human substantia nigra,Parkinson's disease AND control AND GPL570
GSM184374,Substantia nigra PD rep12,Homo sapiens,0,2007/06/14,False,,570,postmortem human substantia nigra,Parkinson's disease AND control AND GPL570
GSM184373,Substantia nigra PD rep11,Homo sapiens,0,2007/06/14,False,,570,postmortem human substantia nigra,Parkinson's disease AND control AND GPL570
GSM184372,Substantia nigra PD rep10,Homo sapiens,0,2007/06/14,False,,570,postmortem human substantia nigra,Parkinson's disease AND control AND GPL570
GSM184371,Substantia nigra PD rep9,Homo sapiens,0,2007/06/14,False,,570,postmortem human substantia nigra,Parkinson's disease AND control AND GPL570
GSM184370,Substantia nigra PD rep8,Homo sapiens,0,2007/06/14,False,,570,postmortem human substantia nigra,Parkinson's disease AND control AND GPL570
GSM184369,Substantia nigra PD rep7,Homo sapiens,0,2007/06/14,False,,570,postmortem human substantia nigra,Parkinson's disease AND control AND GPL570
GSM184368,Substantia nigra PD rep6,Homo sapiens,0,2007/06/14,False,,570,postmortem human substantia nigra,Parkinson's disease AND control AND GPL570
GSM184367,Substantia nigra PD rep5,Homo sapiens,0,2007/06/14,False,,570,postmortem human substantia nigra,Parkinson's disease AND control AND GPL570
GSM184366,Substantia nigra PD rep4,Homo sapiens,0,2007/06/14,False,,570,postmortem human substantia nigra,Parkinson's disease AND control AND GPL570
GSM184365,Substantia nigra PD rep3,Homo sapiens,0,2007/06/14,False,,570,postmortem human substantia nigra,Parkinson's disease AND control AND GPL570
GSM184364,Substantia nigra PD rep2,Homo sapiens,0,2007/06/14,False,,570,postmortem human substantia nigra,Parkinson's disease AND control AND GPL570
GSM184363,Substantia nigra PD rep1,Homo sapiens,0,2007/06/14,False,,570,postmortem human substantia nigra,Parkinson's disease AND control AND GPL570
GSE125234,Modelling G2019S-LRRK2 sporadic Parkinson’s disease in 3D midbrain organoids,Homo sapiens,4,2019/02/02,True,Expression profiling by array,6244,"recent advances in generating 3 dimensional (3d) organoid systems from stem cells offer new possibilities for disease modeling. in this study, we generate isogenic 3d midbrain organoids with or without a parkinson’s disease-associated lrrk2 g2019s mutation. lrrk2-g2019s midbrain organoids derived from lrrk2 targeted human ipscs in vitro have lrrk2-associated sporadic parkinson's disease phenotypes. midbrain-like 3d organoids expressing lrrk2-g2019s showed dynamic changes in globle gene expression.",Parkinson's disease AND control AND GPL6244
GSE99473,"SNP Genotype and Gene Expression data from induced Pluripotent Stem cells from Parkinson's Disease patients harboring mutations in the GBA1 gene, and from healthy control donors",Homo sapiens,18,2017/06/01,True,Expression profiling by array; SNP genotyping by SNP array; Genome variation profiling by SNP array,13829;10558;22678,this superseries is composed of the subseries listed below.,Parkinson's disease AND control AND GPL10558
GSE99142,"Gene expression data from induced Pluripotent Stem cells from Parkinson's Disease patients harboring mutations in the GBA1 gene, and from healthy control donors",Homo sapiens,5,2017/06/01,True,Expression profiling by array,10558,"we have generated human induced pluripotent stem cells (hipsc) using retroviral and sendai virus-mediated delivery of reprogramming factors. hipsc lines have been screened using snp array to assess chromosomal stability (alongside the fibroblast lines from which they derived), and validation of the pluripotency of the hipsc lines is provided by pluritest assessment of transcriptome datasets, prior to differentiation and downstream assays. proteomic analysis of gba1 patient-derived dopaminergic neurons reveal impeded neurite outgrowth.",Parkinson's disease AND control AND GPL10558
GSE89886,"Gene expression data from induced Pluripotent Stem cells from Parkinson's Disease patients harbouring amplification of, or mutations in the SNCA gene, and from healthy control donors",Homo sapiens,32,2016/11/16,True,Expression profiling by array; SNP genotyping by SNP array,22678;10558;21168;13829,this superseries is composed of the subseries listed below.,Parkinson's disease AND control AND GPL10558
GSE89883,"Gene expression data from induced Pluripotent Stem cells from Parkinson's Disease patients harbouring amplification of, or mutations in the SNCA gene, and from healthy control donors [gene expression]",Homo sapiens,13,2016/11/16,True,Expression profiling by array,10558,"we have generated human induced pluripotent stem cells (hipsc) using sendai virus-mediated delivery of reprogramming factors. hipsc lines have been screened using snp array to assess chromosomal stability (alongside the fibroblast lines from which they derived), and validation of the pluripotency of the hipsc lines is provided by pluritest assessment of transcriptome datasets, prior to differentiation and downstream assays. excess α-synuclein compromises phagocytosis in ipsc-derived macrophages. walther haenseler, federico zambon, heyne lee, jane vowles, federica rinaldi, galbha duggal, henry houlden, katrina gwinn, selina wray, kelvin c. luk, richard wade-martins, william s. james and sally a. cowley",Parkinson's disease AND control AND GPL10558
GSE78152,"Derivation, characterization, and neuronal differentiation of integration-free induced pluripotent stem cell lines from Parkinsons disease patients carrying SNCA, LRRK2, PARK2, and GBA mutations",Homo sapiens,8,2016/02/23,True,Expression profiling by array,10558,"analysis of whole genome expression in control and patients with parkinsons disease ipsc lines. the hypothesis tested in present study was that deficient gba, snca, lrrk2 and parkin expression can be used for disease modeling by their affects on multiple pathways. these results provide information on relationship between pd genes and mitochondria related gene expression.",Parkinson's disease AND control AND GPL10558
GSE77664,Gene expression and SNP genotype data from induced Pluripotent Stem cells from Parkinson's Disease patients harbouring G2019S mutations in the LRRK2 gene,Homo sapiens,12,2016/02/09,True,SNP genotyping by SNP array; Expression profiling by array,13829;10558,this superseries is composed of the subseries listed below.,Parkinson's disease AND control AND GPL10558
GSE77663,Gene expression data from induced Pluripotent Stem cells from Parkinson's Disease patients harbouring G2019S mutations in the LRRK2 gene,Homo sapiens,4,2016/02/09,True,Expression profiling by array,10558,"we have generated human induced pluripotent stem cells (hipsc) using retroviral virus-mediated delivery of reprogramming factors. hipsc lines have been screened using snp array to assess chromosomal stability (alongside the fibroblast lines from which they derived), and validation of the pluripotency of the hipsc lines is provided by pluritest assessment of transcriptome datasets, prior to differentiation and downstream assays. gene expression profiling in patient-derived dopamine neurons identifies candidate therapeutic molecules in parkinson’s disease.",Parkinson's disease AND control AND GPL10558
GSE54536,Involvement of endocytosis and alternative splicing in the formation of the pathological process in Parkinson's Disease,Homo sapiens,10,2014/01/31,True,Expression profiling by array,10558,we performed a whole-transcriptome analysis of the peripheral blood of untreated patients with stage 1 pd (hoehn–yahr scale).,Parkinson's disease AND control AND GPL10558
GDS5646,Early Parkinson's disease: peripheral blood,Homo sapiens,10,2014/01/31,True,Expression profiling by array,10558,"analysis of peripheral blood of untreated patients with stage 1 parkinson's disease (pd), according to the hoehn-yahr scale, and paired healthy, age- and sex-matched controls. results provide insight into molecular mechanisms underlying the initiation of the development of pd.",Parkinson's disease AND control AND GPL10558
GSE53424,Gene expression data from human fibroblasts and induced Pluripotent Stem cells from Parkinson's Disease patients,Homo sapiens,5,2013/12/18,True,Expression profiling by array,10558,"we have generated human induced pluripotent stem cells (hipsc) from parkinson's disease patients, using retrovirus-mediated delivery of reprogramming factors. hipsc lines have been screened using snp array to assess chromosomal stability (alongside the fibroblast lines from which they derived), and validation of the pluripotency of the hipsc lines is provided by pluritest assessment of transcriptome datasets, prior to differentiation to dopaminergic neuronal clutures and downstream functional assays.",Parkinson's disease AND control AND GPL10558
